review,review_clean,sentiment
It was nice produt. I like it's design a lot.  It's easy to carry. And.   Looked stylish.READ MORE,nice produt like design lot easy carry looked stylishread,POSITIF
awesome sound....very pretty to see this nd the sound quality was too good I wish to take this product loved this product 😍😍😍READ MORE,awesome soundvery pretty see sound quality good wish take product loved product read,POSITIF
"awesome sound quality. pros 7-8 hrs of battery life (including 45 mins approx call time)Awesome sound output. Bass and treble are really very clear without equaliser. With equaliser, sound wary depends on the handset sound quality.Weightless to carry and in head tooMic is good, but in traffic it is not too good (3.25/5)3.5mm Option is really important to mention. Really expecting other leading brands to implement this.ConsVery tight in ears. adjusters are ok .. this ll be very tight...READ MORE",awesome sound quality pro hr battery life including min approx call timeawesome sound output bass treble really clear without equaliser equaliser sound wary depends handset sound qualityweightless carry head toomic good traffic good option really important mention really expecting leading brand implement thisconsvery tight ear adjuster tightread,POSITIF
I think it is such a good product not only as per the quality but also the design is quite good . I m using this product from January ... In this pandamic situation it has became the most useful and helpful . Overall the bass and the sound quality is pretty good and another thing that will give you such a sigh of relief that it will provide a wire that will help you in case of lacking charges.READ MORE,think good product per quality also design quite good using product january pandamic situation became useful helpful overall bass sound quality pretty good another thing give sigh relief provide wire help case lacking chargesread,POSITIF
awesome bass sound quality very good bettary long life  and I have a purchase Rs.999  only really grateful product don't forget to likeREAD MORE,awesome bass sound quality good bettary long life purchase really grateful product dont forget likeread,POSITIF
"Awsome sound powerful bass battery backup is also excellent and i loved bass the most and I'm huge lover of music and the most bass design and build is also very nice,and this was my first time when i bought and headphone or and electronics item and glad to say on the first time only i loved it 😍 😍 😍  it's a very excellent product.         Thanks boat for making such a nice product keep making such and the most Thanks to flipkart team for delivering such a nice product by risking there lif...READ MORE",awsome sound powerful bass battery backup also excellent loved bass huge lover music bass design build also niceand first time bought headphone electronics item glad say first time loved excellent product thanks boat making nice product keep making thanks flipkart team delivering nice product risking lifread,POSITIF
This product sound is clear and excellent bass. Obviously this is a good product valuable from money. so guys any no daut this is a really good product.....READ MORE,product sound clear excellent bass obviously good product valuable money guy daut really good productread,POSITIF
Should u buy this---Pros:-1. Sound quality and build quality is awesome2. Bluetooth connectivity is average3. Bass is clear and High 😍4. Battery Backup is very good5. U can use this as wire Headphone when u have no charge on headphone..(This is good)Cron:-1. If u use it for too long u can feel the pain in ur ear2. its on the ear not over the ear...if u need over the ear at this price go for Moto puls maxFinal opinion:---If u want good sound quality.. good bass and a wireless head...READ MORE,buy thispros sound quality build quality awesome bluetooth connectivity average bass clear high battery backup good use wire headphone charge headphonethis goodcron use long feel pain ear ear earif need ear price moto pul maxfinal opinionif want good sound quality good bass wireless headread,POSITIF
"First of all, I want to talk about sound quality. The sound quality is best for this price segment. Bass is really punchy, mids are also good, but on high volumes, the sound cracks a bit,  otherwise it is really nice. 9/10.Then come the build quality. The build quality too is amazing. You cant get better headphones than these. They are sturdy and very light, made out of very good quality plastic. 9.5/10.The thing I didn't like was that they are a bit tight. Sometimes, they become uncomforta...READ MORE",first want talk sound quality sound quality best price segment bass really punchy mids also good high volume sound crack bit otherwise really nice come build quality build quality amazing cant get better headphone sturdy light made good quality plastic thing didnt like bit tight sometimes become uncomfortaread,POSITIF
Good looking Super Fine clear Sound and power full bassREAD MORE,good looking super fine clear sound power full bassread,POSITIF
